Sno,BHK,Property,Beds,Baths,Balcony,Address,City,State,Country,Landmarks
544,2,Co-op,2,1,,"2440 Amsterdam Avenue, #5N",New York,NY,USA,Washington Heights
545,6,Single Family,6,4,1,863 Riverside Drive,New York,NY,USA,Washington Heights
546,4,Co-op,4,4,,"CASTLE VILLAGE, #40/48/49",New York,NY,USA,Hudson Heights
547,4,Co-op,4,3,1,"140 Cabrini Boulevard 111-112, #111112",New York,NY,USA,Hudson Heights
548,6,Single Family,6,4,,912 St Nicholas Avenue,New York,NY,USA,Washington Heights
549,623,,623,,1,"THE RIVIERA, #11G",New York,NY,USA,Washington Heights
550,15,Villas / Townhouses,15,6,1,546 West 165th Street,New York,NY,USA,Washington Heights
551,6,Single Family,6,3,1,549 West 187th Street,New York,NY,USA,Washington Heights
552,2,Single Family,2,2,1,11 Sylvan Terrace,New York,NY,USA,Washington Heights
553,4,Co-op,4,3,,"800 Riverside Drive 6E, #6E",New York,NY,USA,Washington Heights
554,623,,623,,,"AMMANN, #PH8A",New York,NY,USA,Hudson Heights
555,578,Land/Lot,578,,2,5 Red Rock Island,San Francisco,CA,USA,San Francisco
556,3,Condominium,3,3,2,"338 Spear Street, #35D",San Francisco,CA,USA,San Francisco
557,2,Condominium,2,2,1,"239 Brannan Street, #10G",San Francisco,CA,USA,San Francisco
558,2,Condominium,2,1,,211 Cole Street,San Francisco,CA,USA,San Francisco
559,2,Condominium,2,1,2,209 Cole Street,San Francisco,CA,USA,San Francisco
560,2,Condominium,2,2,,"72 Townsend Street, #402",San Francisco,CA,USA,San Francisco
561,3,Single Family,3,2,2,509 Liberty Avenue,Brooklyn,NY,USA,East New York
562,10,Single Family,10,4,1,321 Milford Street,Brooklyn,NY,USA,East New York
563,9,Villas / Townhouses,9,6,,619 Emerald Street,Brooklyn,NY,USA,East New York
564,10,Single Family,10,4,1,750 Glenmore Avenue,Brooklyn,NY,USA,East New York
565,8,Single Family,8,3,2,297 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
566,6,Single Family,6,3,1,690 Vermont Street,Brooklyn,NY,USA,East New York
567,7,Single Family,7,3,,427 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
568,4,Single Family,4,3,2,914 Pine Street,Brooklyn,NY,USA,East New York
569,7,Single Family,7,3,,731 Wyona Street,Brooklyn,NY,USA,East New York
570,2,Condominium,2,2,,Four Seasons Private Residences Lake Austin,Austin,TX,USA,Lake Austin
571,1,Condo,1,1,2,"832 W Oakdale Ave Unit 1G,",Chicago,IL,USA,2.5% buyer's agent fee
572,1,Condo,1,1,2,"819 E 53rd St #3,",Chicago,IL,USA,CHI - Hyde Park
573,2,Condo,2,2,2,"3944 N Claremont Ave #307,",Chicago,IL,USA,Has A/C
574,1,Condo,1,1,2,"1030 N State St Unit 41A,",Chicago,IL,USA,In-unit laundry (washer and dryer)
575,1,Condo,1,15,2,"645 N Kingsbury St #1003,",Chicago,IL,USA,Has A/C
576,3,Condo,3,2,2,"1159 N Hudson St Unit 1-101,",Chicago,IL,USA,Has A/C
577,3,Single-family,3,2,2,"6502 34th Ave NW,",Seattle,WA,USA,Sunset Hill
578,5,Single-family,5,4,2,"106 NW 101st St,",Seattle,WA,USA,Has A/C
579,1,,1,1,2,"312 W 5th St #507,",Los Angeles,CA,USA,
580,5,Single-family,5,3,2,"2458 Calle Tortuosa,",San Diego,CA,USA,2% buyer's agent fee
581,3,Single-family,3,15,2,"15680 SE Wallace Rd,",Milwaukie,OR,USA,"145 - Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada"
582,2,Townhome,2,25,2,"4264 N Longview Ave,",Portland,OR,USA,OVERLOOK
583,2,Condo,2,2,2,"1025 1st St SE #915,",Washington,DC,USA,Has A/C
584,4,Townhome,4,35,2,"1210 Queen St NE #2,",Washington,DC,USA,Has A/C
585,3,Single-family,3,3,2,"162 Southwood Dr,",San Francisco,CA,USA,
586,3,Single-family,3,3,2,"219 Ralston St,",San Francisco,CA,USA,SF District 3
587,3,Single-family,3,2,2,"5878 Macadam Ct,",SAN JOSE,CA,USA,2.5% buyer's agent fee
588,4,Single-family,4,25,2,"4001 Silver Creek Rd,",SAN JOSE,CA,USA,0.25% buyer's agent fee
589,2,Condo,2,2,2,"13604 Caldwell Dr #29,",Austin,TX,USA,Has A/C
590,3,Single-family,3,2,2,"1615 Glencrest Dr,",Austin,TX,USA,In-unit laundry (washer and dryer)
591,3,Single-family,3,2,2,"10668 Windrose Point Ave,",Las Vegas,NV,USA,Has A/C
592,4,Single-family,4,3,2,"4617 Ashington St,",Las Vegas,NV,USA,Has A/C
593,6,Single Family,6,5,1,1867 N Burling Street,Chicago,IL,USA,Lincoln Park
594,10,Single Family,10,8,1,2026 N Kenmore Avenue,Chicago,IL,USA,Lincoln Park
595,3,Condominium,3,4,1,"500 W Superior Street, #2703",Chicago,IL,USA,Near North Side
596,6,Single Family,6,6,1,52 E BELLEVUE Place,Chicago,IL,USA,Near North Side
597,5,Single Family,5,6,,1970 N Burling Street,Chicago,IL,USA,Lincoln Park
598,6,Single Family,6,6,1,1521 N State Parkway,Chicago,IL,USA,Near North Side
599,3,Condominium,3,3,2,"159 E WALTON Place, #31A",Chicago,IL,USA,Near North Side
600,5,Single Family,5,5,,2325 N Cleveland Avenue,Chicago,IL,USA,Lincoln Park
601,3,Condominium,3,3,,"159 E Walton Place, #22A",Chicago,IL,USA,Near North Side
602,4,Condominium,4,4,2,"9 W Walton Street, #2902",Chicago,IL,USA,Near North Side
603,5,Single Family,5,4,2,1856 N Mohawk Street,Chicago,IL,USA,Lincoln Park
604,4,Single Family,4,4,1,401 W Dickens Avenue,Chicago,IL,USA,Lincoln Park
605,6,Single Family,6,5,,362 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
606,9,Single Family,9,13,,10936 Chalon Rd,Los Angeles,CA,USA,Los Angeles
607,9,Estate,9,13,1,1859 Bel Air Rd,Los Angeles,CA,USA,Los Angeles
608,6,Single Family,6,6,2,0 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
609,5,Estate,5,8,,1680 N Doheny Dr,Los Angeles,CA,USA,Los Angeles
610,6,Single Family,6,9,2,615 N Faring Rd,Los Angeles,CA,USA,Los Angeles
611,5,Single Family,5,6,2,10801 Chalon Rd,Los Angeles,CA,USA,Los Angeles
612,6,Single Family,6,4,1,1504 N Kenter Ave,Los Angeles,CA,USA,Los Angeles
613,6,Single Family,6,7,1,1055 Stradella Rd,Los Angeles,CA,USA,Los Angeles
614,32,multi-unit,32,42,1,2391 Roscomare Rd,Los Angeles,CA,USA,Los Angeles
615,8,Single Family,8,12,1,10710 Chalon Rd,Los Angeles,CA,USA,Los Angeles
616,1,Single Family,1,1,2,2125 Puerto Del Mundo,CA,CA,USA,Fallbrook
617,5,Single Family,5,4,,35 Payne,Portland,CT,USA,Portland
618,2,Co-op,2,1,,"2440 Amsterdam Avenue, #5N",New York,NY,USA,Washington Heights
619,6,Single Family,6,4,1,863 Riverside Drive,New York,NY,USA,Washington Heights
620,4,Co-op,4,4,,"CASTLE VILLAGE, #40/48/49",New York,NY,USA,Hudson Heights
621,4,Co-op,4,3,1,"140 Cabrini Boulevard 111-112, #111112",New York,NY,USA,Hudson Heights
622,6,Single Family,6,4,,912 St Nicholas Avenue,New York,NY,USA,Washington Heights
623,623,,623,,1,"THE RIVIERA, #11G",New York,NY,USA,Washington Heights
624,15,Villas / Townhouses,15,6,1,546 West 165th Street,New York,NY,USA,Washington Heights
625,6,Single Family,6,3,1,549 West 187th Street,New York,NY,USA,Washington Heights
626,2,Single Family,2,2,1,11 Sylvan Terrace,New York,NY,USA,Washington Heights
627,4,Co-op,4,3,,"800 Riverside Drive 6E, #6E",New York,NY,USA,Washington Heights
628,623,,623,,,"AMMANN, #PH8A",New York,NY,USA,Hudson Heights
629,578,Land/Lot,578,,2,5 Red Rock Island,San Francisco,CA,USA,San Francisco
630,3,Condominium,3,3,2,"338 Spear Street, #35D",San Francisco,CA,USA,San Francisco
631,2,Condominium,2,2,1,"239 Brannan Street, #10G",San Francisco,CA,USA,San Francisco
632,2,Condominium,2,1,,211 Cole Street,San Francisco,CA,USA,San Francisco
633,2,Condominium,2,1,2,209 Cole Street,San Francisco,CA,USA,San Francisco
634,2,Condominium,2,2,,"72 Townsend Street, #402",San Francisco,CA,USA,San Francisco
635,3,Single Family,3,2,2,509 Liberty Avenue,Brooklyn,NY,USA,East New York
636,10,Single Family,10,4,1,321 Milford Street,Brooklyn,NY,USA,East New York
637,9,Villas / Townhouses,9,6,,619 Emerald Street,Brooklyn,NY,USA,East New York
638,10,Single Family,10,4,1,750 Glenmore Avenue,Brooklyn,NY,USA,East New York
639,8,Single Family,8,3,2,297 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
640,6,Single Family,6,3,1,690 Vermont Street,Brooklyn,NY,USA,East New York
641,7,Single Family,7,3,,427 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
642,4,Single Family,4,3,2,914 Pine Street,Brooklyn,NY,USA,East New York
643,7,Single Family,7,3,,731 Wyona Street,Brooklyn,NY,USA,East New York
644,2,Condominium,2,2,,Four Seasons Private Residences Lake Austin,Austin,TX,USA,Lake Austin
645,1,Condo,1,1,2,"832 W Oakdale Ave Unit 1G,",Chicago,IL,USA,2.5% buyer's agent fee
646,1,Condo,1,1,2,"819 E 53rd St #3,",Chicago,IL,USA,CHI - Hyde Park
647,2,Condo,2,2,2,"3944 N Claremont Ave #307,",Chicago,IL,USA,Has A/C
648,1,Condo,1,1,2,"1030 N State St Unit 41A,",Chicago,IL,USA,In-unit laundry (washer and dryer)
649,1,Condo,1,15,2,"645 N Kingsbury St #1003,",Chicago,IL,USA,Has A/C
650,3,Condo,3,2,2,"1159 N Hudson St Unit 1-101,",Chicago,IL,USA,Has A/C
651,3,Single-family,3,2,2,"6502 34th Ave NW,",Seattle,WA,USA,Sunset Hill
652,5,Single-family,5,4,2,"106 NW 101st St,",Seattle,WA,USA,Has A/C
653,1,,1,1,2,"312 W 5th St #507,",Los Angeles,CA,USA,
654,5,Single-family,5,3,2,"2458 Calle Tortuosa,",San Diego,CA,USA,2% buyer's agent fee
655,3,Single-family,3,15,2,"15680 SE Wallace Rd,",Milwaukie,OR,USA,"145 - Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada"
656,2,Townhome,2,25,2,"4264 N Longview Ave,",Portland,OR,USA,OVERLOOK
657,2,Condo,2,2,2,"1025 1st St SE #915,",Washington,DC,USA,Has A/C
658,4,Townhome,4,35,2,"1210 Queen St NE #2,",Washington,DC,USA,Has A/C
659,3,Single-family,3,3,2,"162 Southwood Dr,",San Francisco,CA,USA,
660,3,Single-family,3,3,2,"219 Ralston St,",San Francisco,CA,USA,SF District 3
661,3,Single-family,3,2,2,"5878 Macadam Ct,",SAN JOSE,CA,USA,2.5% buyer's agent fee
662,4,Single-family,4,25,2,"4001 Silver Creek Rd,",SAN JOSE,CA,USA,0.25% buyer's agent fee
663,2,Condo,2,2,2,"13604 Caldwell Dr #29,",Austin,TX,USA,Has A/C
664,3,Single-family,3,2,2,"1615 Glencrest Dr,",Austin,TX,USA,In-unit laundry (washer and dryer)
665,3,Single-family,3,2,2,"10668 Windrose Point Ave,",Las Vegas,NV,USA,Has A/C
666,4,Single-family,4,3,2,"4617 Ashington St,",Las Vegas,NV,USA,Has A/C
667,6,Single Family,6,5,1,1867 N Burling Street,Chicago,IL,USA,Lincoln Park
668,10,Single Family,10,8,1,2026 N Kenmore Avenue,Chicago,IL,USA,Lincoln Park
669,3,Condominium,3,4,1,"500 W Superior Street, #2703",Chicago,IL,USA,Near North Side
670,6,Single Family,6,6,1,52 E BELLEVUE Place,Chicago,IL,USA,Near North Side
671,5,Single Family,5,6,,1970 N Burling Street,Chicago,IL,USA,Lincoln Park
672,6,Single Family,6,6,1,1521 N State Parkway,Chicago,IL,USA,Near North Side
673,3,Condominium,3,3,2,"159 E WALTON Place, #31A",Chicago,IL,USA,Near North Side
674,5,Single Family,5,5,,2325 N Cleveland Avenue,Chicago,IL,USA,Lincoln Park
675,3,Condominium,3,3,,"159 E Walton Place, #22A",Chicago,IL,USA,Near North Side
676,4,Condominium,4,4,2,"9 W Walton Street, #2902",Chicago,IL,USA,Near North Side
677,5,Single Family,5,4,2,1856 N Mohawk Street,Chicago,IL,USA,Lincoln Park
678,4,Single Family,4,4,1,401 W Dickens Avenue,Chicago,IL,USA,Lincoln Park
679,6,Single Family,6,5,,362 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
680,9,Single Family,9,13,,10936 Chalon Rd,Los Angeles,CA,USA,Los Angeles
681,9,Estate,9,13,1,1859 Bel Air Rd,Los Angeles,CA,USA,Los Angeles
682,6,Single Family,6,6,2,0 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
683,5,Estate,5,8,,1680 N Doheny Dr,Los Angeles,CA,USA,Los Angeles
684,6,Single Family,6,9,2,615 N Faring Rd,Los Angeles,CA,USA,Los Angeles
685,5,Single Family,5,6,2,10801 Chalon Rd,Los Angeles,CA,USA,Los Angeles
686,6,Single Family,6,4,1,1504 N Kenter Ave,Los Angeles,CA,USA,Los Angeles
687,6,Single Family,6,7,1,1055 Stradella Rd,Los Angeles,CA,USA,Los Angeles
688,32,multi-unit,32,42,1,2391 Roscomare Rd,Los Angeles,CA,USA,Los Angeles
689,8,Single Family,8,12,1,10710 Chalon Rd,Los Angeles,CA,USA,Los Angeles
690,1,Single Family,1,1,2,2125 Puerto Del Mundo,CA,CA,USA,Fallbrook
691,5,Single Family,5,4,,35 Payne,Portland,CT,USA,Portland
692,2,Co-op,2,1,,"2440 Amsterdam Avenue, #5N",New York,NY,USA,Washington Heights
693,6,Single Family,6,4,1,863 Riverside Drive,New York,NY,USA,Washington Heights
694,4,Co-op,4,4,,"CASTLE VILLAGE, #40/48/49",New York,NY,USA,Hudson Heights
695,4,Co-op,4,3,1,"140 Cabrini Boulevard 111-112, #111112",New York,NY,USA,Hudson Heights
696,6,Single Family,6,4,,912 St Nicholas Avenue,New York,NY,USA,Washington Heights
697,623,,623,,1,"THE RIVIERA, #11G",New York,NY,USA,Washington Heights
698,15,Villas / Townhouses,15,6,1,546 West 165th Street,New York,NY,USA,Washington Heights
699,6,Single Family,6,3,1,549 West 187th Street,New York,NY,USA,Washington Heights
700,2,Single Family,2,2,1,11 Sylvan Terrace,New York,NY,USA,Washington Heights
701,4,Co-op,4,3,,"800 Riverside Drive 6E, #6E",New York,NY,USA,Washington Heights
702,623,,623,,,"AMMANN, #PH8A",New York,NY,USA,Hudson Heights
703,578,Land/Lot,578,,2,5 Red Rock Island,San Francisco,CA,USA,San Francisco
704,3,Condominium,3,3,2,"338 Spear Street, #35D",San Francisco,CA,USA,San Francisco
705,2,Condominium,2,2,1,"239 Brannan Street, #10G",San Francisco,CA,USA,San Francisco
706,2,Condominium,2,1,,211 Cole Street,San Francisco,CA,USA,San Francisco
707,2,Condominium,2,1,2,209 Cole Street,San Francisco,CA,USA,San Francisco
708,2,Condominium,2,2,,"72 Townsend Street, #402",San Francisco,CA,USA,San Francisco
709,3,Single Family,3,2,2,509 Liberty Avenue,Brooklyn,NY,USA,East New York
710,10,Single Family,10,4,1,321 Milford Street,Brooklyn,NY,USA,East New York
711,9,Villas / Townhouses,9,6,,619 Emerald Street,Brooklyn,NY,USA,East New York
712,10,Single Family,10,4,1,750 Glenmore Avenue,Brooklyn,NY,USA,East New York
713,8,Single Family,8,3,2,297 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
714,6,Single Family,6,3,1,690 Vermont Street,Brooklyn,NY,USA,East New York
715,7,Single Family,7,3,,427 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
716,4,Single Family,4,3,2,914 Pine Street,Brooklyn,NY,USA,East New York
717,7,Single Family,7,3,,731 Wyona Street,Brooklyn,NY,USA,East New York
718,2,Condominium,2,2,,Four Seasons Private Residences Lake Austin,Austin,TX,USA,Lake Austin
719,1,Condo,1,1,2,"832 W Oakdale Ave Unit 1G,",Chicago,IL,USA,2.5% buyer's agent fee
720,1,Condo,1,1,2,"819 E 53rd St #3,",Chicago,IL,USA,CHI - Hyde Park
721,2,Condo,2,2,2,"3944 N Claremont Ave #307,",Chicago,IL,USA,Has A/C
722,1,Condo,1,1,2,"1030 N State St Unit 41A,",Chicago,IL,USA,In-unit laundry (washer and dryer)
723,1,Condo,1,15,2,"645 N Kingsbury St #1003,",Chicago,IL,USA,Has A/C
724,3,Condo,3,2,2,"1159 N Hudson St Unit 1-101,",Chicago,IL,USA,Has A/C
725,3,Single-family,3,2,2,"6502 34th Ave NW,",Seattle,WA,USA,Sunset Hill
726,5,Single-family,5,4,2,"106 NW 101st St,",Seattle,WA,USA,Has A/C
727,1,,1,1,2,"312 W 5th St #507,",Los Angeles,CA,USA,
728,5,Single-family,5,3,2,"2458 Calle Tortuosa,",San Diego,CA,USA,2% buyer's agent fee
729,3,Single-family,3,15,2,"15680 SE Wallace Rd,",Milwaukie,OR,USA,"145 - Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada"
730,2,Townhome,2,25,2,"4264 N Longview Ave,",Portland,OR,USA,OVERLOOK
731,2,Condo,2,2,2,"1025 1st St SE #915,",Washington,DC,USA,Has A/C
732,4,Townhome,4,35,2,"1210 Queen St NE #2,",Washington,DC,USA,Has A/C
733,3,Single-family,3,3,2,"162 Southwood Dr,",San Francisco,CA,USA,
734,3,Single-family,3,3,2,"219 Ralston St,",San Francisco,CA,USA,SF District 3
735,3,Single-family,3,2,2,"5878 Macadam Ct,",SAN JOSE,CA,USA,2.5% buyer's agent fee
736,4,Single-family,4,25,2,"4001 Silver Creek Rd,",SAN JOSE,CA,USA,0.25% buyer's agent fee
737,2,Condo,2,2,2,"13604 Caldwell Dr #29,",Austin,TX,USA,Has A/C
738,3,Single-family,3,2,2,"1615 Glencrest Dr,",Austin,TX,USA,In-unit laundry (washer and dryer)
739,3,Single-family,3,2,2,"10668 Windrose Point Ave,",Las Vegas,NV,USA,Has A/C
740,4,Single-family,4,3,2,"4617 Ashington St,",Las Vegas,NV,USA,Has A/C
